Property ID,User ID,Property URL,Floorplan URLs
1,2,https://www.rightmove.co.uk/properties/154508327,https://media.rightmove.co.uk/85k/84953/154508327/84953_101291013823_FLP_00_0000.jpeg
2,2,https://www.rightmove.co.uk/properties/157632305,https://media.rightmove.co.uk/16k/15987/157632305/15987_1309699_FLP_00_0001.png
3,2,https://www.rightmove.co.uk/properties/157624415,https://media.rightmove.co.uk/97k/96368/157624415/96368_HOR240273_FLP_00_0000.jpeg
4,2,https://www.rightmove.co.uk/properties/157637849,https://media.rightmove.co.uk/15k/14113/157637849/14113_CWG250004_FLP_00_0000.gif
6,2,https://www.rightmove.co.uk/properties/87080874,https://media.rightmove.co.uk/5k/4172/87080874/4172_100031013581_FLP_00_0000.png
7,2,https://www.rightmove.co.uk/properties/158149802,https://media.rightmove.co.uk/12k/11612/158149802/11612_BUR100211_FLP_00_0000.jpeg
8,2,https://www.rightmove.co.uk/properties/158149382,https://media.rightmove.co.uk/16k/15436/158149382/15436_28698681_FLP_00_0000.jpeg
9,2,https://www.rightmove.co.uk/properties/158112233,https://media.rightmove.co.uk/20k/19212/158112233/19212_RIP210257_FLP_00_0000.jpeg
10,2,https://www.rightmove.co.uk/properties/158119058,https://media.rightmove.co.uk/49k/48698/158119058/48698_WES200087_FLP_00_0000.jpeg
11,8,https://www.rightmove.co.uk/properties/87080874,https://media.rightmove.co.uk/5k/4172/87080874/4172_100031013581_FLP_00_0000.png
12,8,https://www.rightmove.co.uk/properties/158149802,https://media.rightmove.co.uk/12k/11612/158149802/11612_BUR100211_FLP_00_0000.jpeg
13,8,https://www.rightmove.co.uk/properties/158149382,https://media.rightmove.co.uk/16k/15436/158149382/15436_28698681_FLP_00_0000.jpeg
14,8,https://www.rightmove.co.uk/properties/158112233,https://media.rightmove.co.uk/20k/19212/158112233/19212_RIP210257_FLP_00_0000.jpeg
15,8,https://www.rightmove.co.uk/properties/158119058,https://media.rightmove.co.uk/49k/48698/158119058/48698_WES200087_FLP_00_0000.jpeg
17,8,https://www.rightmove.co.uk/properties/158281094,https://media.rightmove.co.uk/18k/17973/158281094/17973_WNS250031_FLP_00_0000.jpeg
18,8,https://www.rightmove.co.uk/properties/158285186,https://media.rightmove.co.uk/34k/33563/158285186/33563_WIN190557_FLP_00_0000.jpeg
19,8,https://www.rightmove.co.uk/properties/158261315,https://media.rightmove.co.uk/20k/19212/158261315/19212_RIP210132_FLP_00_0000.jpeg
20,8,https://www.rightmove.co.uk/properties/157665278,https://media.rightmove.co.uk/151k/150398/157665278/150398_MOD103295_FLP_00_0000.jpeg
21,8,https://www.rightmove.co.uk/properties/152943413,https://media.rightmove.co.uk/16k/15984/152943413/15984_1220188_FLP_00_0000.png
22,8,https://www.rightmove.co.uk/properties/158262095,https://media.rightmove.co.uk/10k/9040/158262095/9040_WOK240569_FLP_00_0000.jpeg
23,8,https://www.rightmove.co.uk/properties/156244094,https://media.rightmove.co.uk/3k/2083/156244094/2083_SOU116672_FLP_00_0000.jpeg
24,8,https://www.rightmove.co.uk/properties/157114469,https://media.rightmove.co.uk/16k/15436/157114469/15436_28607650_FLP_00_0000.jpeg
25,8,https://www.rightmove.co.uk/properties/158264951,https://media.rightmove.co.uk/12k/11612/158264951/11612_BUR240187_FLP_00_0000.jpeg
26,8,https://www.rightmove.co.uk/properties/158256791,https://media.rightmove.co.uk/50k/49305/158256791/49305_S1209360_FLP_00_0000.jpeg
27,8,https://www.rightmove.co.uk/properties/158034488,https://media.rightmove.co.uk/162k/161522/158034488/161522_HPA240537_FLP_00_0000.jpeg
28,8,https://www.rightmove.co.uk/properties/158322299,https://media.rightmove.co.uk/272k/271565/158322299/271565_S1155015_FLP_00_0000.png
31,8,https://www.rightmove.co.uk/properties/158366828,https://media.rightmove.co.uk/49k/48620/158366828/48620_CLV744732_FLP_00_0000.jpeg
33,8,https://www.rightmove.co.uk/properties/154759076,https://media.rightmove.co.uk/8k/7153/154759076/7153_PULWE_503323_FLP_00_0000.jpeg
34,8,https://www.rightmove.co.uk/properties/158352755,https://media.rightmove.co.uk/87k/86777/158352755/86777_KNA250072_FLP_00_0000.jpeg
35,8,https://www.rightmove.co.uk/properties/158352788,https://media.rightmove.co.uk/10k/9040/158352788/9040_WOK250078_FLP_00_0000.jpeg
36,8,https://www.rightmove.co.uk/properties/151894088,https://media.rightmove.co.uk/27k/26249/151894088/26249_33338480_FLP_00_0000.jpeg
37,8,https://www.rightmove.co.uk/properties/158353511,https://media.rightmove.co.uk/37k/36239/158353511/36239_GUS250022_FLP_00_0000.jpeg
38,8,https://www.rightmove.co.uk/properties/158354267,https://media.rightmove.co.uk/254k/253016/158354267/253016_S1211586_FLP_00_0000.jpeg
39,8,https://www.rightmove.co.uk/properties/157156604,https://media.rightmove.co.uk/37k/36239/157156604/36239_GUS240366_FLP_00_0000.jpeg
40,8,https://www.rightmove.co.uk/properties/158389037,https://media.rightmove.co.uk/103k/102539/158389037/102539_a2567e7b-9ed6-4396-8d3d-bd3e4ff01df9_FLP_00_0000.png
41,8,https://www.rightmove.co.uk/properties/158420027,https://media.rightmove.co.uk/16k/15984/158420027/15984_1314093_FLP_00_0000.png
43,8,https://www.rightmove.co.uk/properties/156809111,https://media.rightmove.co.uk/69k/68971/156809111/68971_GUI220347_FLP_00_0000.png
44,8,https://www.rightmove.co.uk/properties/158399288,https://media.rightmove.co.uk/58k/57272/158399288/57272_1314651_FLP_00_0000.png
