Floor_Name,Room_Name,is_segment,Room_id,No_of_door,No_of_window,No_of_room_points,Min X Pixels,Min Y Pixels,Max X Pixels,Max Y Pixels,dimensions_imperial,dimensions_metric,Max Area Metric,Max Area Imperial,Max Area Pixels,Actual Area Pixels,Pixel ratio,Scale Metric,Scale Imperial,Calculated Sq Area Metric,Calculated Floor Total Sq Area Metric,calculated_area_imperial,Calculated Floor Total Sq Area Imperial,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
unknown,KITCHEN / RECEPTION ROOM,segment,1.0,1.0,3.0,9.0,106.0,95.0,1267.0,955.0,Unknown,Unknown,,,998460.0,821556.0,0.822823147647377,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
unknown,BEDROOM,segment,2.0,1.0,1.0,5.0,107.0,795.0,684.0,1634.0,Unknown,Unknown,,,484103.0,480268.5,0.9920791649710908,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
unknown,Bathroom (AI),segment,3.0,1.0,0.0,10.0,1031.0,794.0,1374.0,1528.0,Unknown,Unknown,,,251762.0,236152.0,0.9379969971639882,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
unknown,Corridor (AI),segment,4.0,5.0,0.0,8.0,105.0,986.0,993.0,1955.0,Unknown,Unknown,,,860472.0,437498.0,0.5084395541051888,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
unknown,Bathroom (AI),segment,5.0,1.0,1.0,10.0,1029.0,1560.0,1379.0,1952.0,Unknown,Unknown,,,137200.0,121385.0,0.8847303206997085,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
