user_id,property_id,original_url,floorplan_data_url
FloorplanTest290425,238,https://media.rightmove.co.uk/254k/253016/158354267/253016_S1211586_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_238/floorid_88ce38020b81060a56eb64fbdcbd35d7a5db49a6a0b14ab42ff0f84b9228b0ce/all_floors.csv
FloorplanTest290425,239,https://media.rightmove.co.uk/37k/36239/157156604/36239_GUS240366_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_239/floorid_ee45f73f4a7759e47811d6014620565b3e6c2ee29cb74cdbc498a576c8d46278/all_floors.csv
FloorplanTest290425,240,https://media.rightmove.co.uk/103k/102539/158389037/102539_a2567e7b-9ed6-4396-8d3d-bd3e4ff01df9_FLP_00_0001.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_240/floorid_07ad05d2952fbf69eb7cd47920e53b31a7a4ab6683caadb447fcc5e8e40dea06/all_floors.csv
FloorplanTest290425,241,https://media.rightmove.co.uk/16k/15984/158420027/15984_1314093_FLP_00_0000.png,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_241/floorid_27df283eabddb652a56b9e8e30013cc1a247e3684942947c9f8340a10a1edbb2/all_floors.csv
FloorplanTest290425,242,https://media.rightmove.co.uk/69k/68971/156809111/68971_GUI220347_FLP_00_0000.png,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_242/floorid_62fc61f8a1efdaa53ad6f6120508793377b69db8b9593dff57de77feab5ffa06/all_floors.csv
FloorplanTest290425,244,https://media.rightmove.co.uk/41k/40310/158391395/40310_33681716_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_244/floorid_babb814b6c58782c8a1151f415f1d657ad14ebfd268843c513ff9ea311d6a96d/all_floors.csv
FloorplanTest290425,246,https://media.rightmove.co.uk/97k/96368/158607725/96368_HOR240204_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_246/floorid_4153fce4b9ad0f535ac50378290f29a2848008654d5a5a45d8a9efc78e4f5081/all_floors.csv
FloorplanTest290425,249,https://media.rightmove.co.uk/12k/11612/158614079/11612_BUR240316_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_249/floorid_8554eb9d218853c834404be35b10871b7e252f7315c91c6dda71db236674891c/all_floors.csv
FloorplanTest290425,250,https://media.rightmove.co.uk/85k/84800/158648825/84800_33695969_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_250/floorid_605ad15e0dd8eac9c6e6366d98b930c7ee994f3ffc2c8bc6934da3baacb29afe/all_floors.csv
FloorplanTest290425,251,https://media.rightmove.co.uk/239k/238265/152076377/238265_S1064575_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_251/floorid_9920de4eafc20be7a8e08cf1a7c5ab6b5260db71817620652547a994f125412e/all_floors.csv
FloorplanTest290425,252,https://media.rightmove.co.uk/55k/54899/158508347/54899_ef2e3c45-d5d0-4ca3-b7fe-718d5542617c_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_252/floorid_2767c3111af2e27ba0b46b59d69c66dfc107079948b46bfdc9f0ca4b2b422dc7/all_floors.csv
FloorplanTest290425,253,https://media.rightmove.co.uk/87k/86777/158701067/86777_KNA220532_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_253/floorid_dce485362cb090a8cd953ae0d9dae1cc67a20a1cf8b20cf2c4b35bf54c15e23b/all_floors.csv
FloorplanTest290425,257,https://media.rightmove.co.uk/192k/191324/154099181/191324_RX393509_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_257/floorid_c080fbac21985ab674a6e11d950c18eddd392f4aac58daf9bdff14763798cf3b/all_floors.csv
FloorplanTest290425,259,https://media.rightmove.co.uk/16k/15436/158165240/15436_28700965_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_259/floorid_3bfe74b865c90b469f467bb2686352ad2e5653c48137c8b757dd9c396a4f24b4/all_floors.csv
FloorplanTest290425,260,https://media.rightmove.co.uk/10k/9040/155520179/9040_WOK230854_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_260/floorid_b2f3fe32444ad77acd4a275609478342bd0e30af8cf199b6494e6b153646e101/all_floors.csv
FloorplanTest290425,261,https://media.rightmove.co.uk/10k/9040/156296654/9040_WOK140970_FLP_00_0001.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_261/floorid_034bcd31d54ea86095417bb228b7b34c08d88726b50d65dfbe5468fba8e34aed/all_floors.csv
FloorplanTest290425,263,https://media.rightmove.co.uk/34k/33563/158743841/33563_WIN250007_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_263/floorid_1b364c2fe0b751048b0cf92ffd45fb18d3e3de307d214f9693d77e73219332b0/all_floors.csv
FloorplanTest290425,264,https://media.rightmove.co.uk/34k/33563/158736590/33563_WIN140205_FLP_00_0001.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_264/floorid_53f4b334bbd300c272d3cf98243ffbd8ae86c12ad233e5385d0dbc50f752623c/all_floors.csv
FloorplanTest290425,265,https://media.rightmove.co.uk/5k/4905/158248280/4905_WOA130226_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_265/floorid_7c88aa3ff7b0ac52679614d76954af3be25f2ca9ecaf36fbc25e356885f9687b/all_floors.csv
FloorplanTest290425,266,https://media.rightmove.co.uk/72k/71947/157156637/71947_50a56668-a934-4512-a8e9-c5c11fbe441c_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_266/floorid_71a7d60f1c8b8f2ffdc1fdb1f81c0a8676e213a3b51a8552120960199abcc1fa/all_floors.csv
FloorplanTest290425,267,https://media.rightmove.co.uk/38k/37979/158790029/37979_a1nQ500000JCn0QIAT_FLP_00_0000.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_267/floorid_3d5f9d73ef96710bd722bbbd3d8a8f383cde501f732201568017788dae7e7f9d/all_floors.csv
FloorplanTest290425,269,https://media.rightmove.co.uk/18k/17973/158856674/17973_WNS150353_FLP_00_0001.jpeg,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_269/floorid_f05cc55d24d87d3732e6b4ab3b7faaf6f605733ea97760f6a465c9ab7424a7d5/all_floors.csv
FloorplanTest290425,270,https://media.rightmove.co.uk/42k/41075/152138696/41075_GLD190269_FLP_00_0009.png,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_270/floorid_a50f8aa0615202a93ffc30830378f0d3117fd4a1c9277fc9b7fdb23a5c5115d9/all_floors.csv
FloorplanTest290425,270,https://media.rightmove.co.uk/42k/41075/152138696/41075_GLD190269_FLP_01_0009.png,https://floorsbucket.s3.eu-north-1.amazonaws.com/processed_images_folder/user_FloorplanTest290425_property_270/floorid_d499299402c473d2dd3267ab71a9935265f81ec91e8cc445654b0c117c0d5ae2/all_floors.csv
