Property ID,User ID,Property URL,Floorplan URLs,Status,Timestamp
41,8,https://www.rightmove.co.uk/properties/158420027,https://media.rightmove.co.uk/16k/15984/158420027/15984_1314093_FLP_00_0000.png,Triggered,2025-04-07 11:12:30
43,8,https://www.rightmove.co.uk/properties/156809111,https://media.rightmove.co.uk/69k/68971/156809111/68971_GUI220347_FLP_00_0000.png,Triggered,2025-04-07 11:13:00
44,8,https://www.rightmove.co.uk/properties/158399288,https://media.rightmove.co.uk/58k/57272/158399288/57272_1314651_FLP_00_0000.png,Triggered,2025-04-07 11:13:31
46,8,https://www.rightmove.co.uk/properties/158391395,https://media.rightmove.co.uk/41k/40310/158391395/40310_33681716_FLP_00_0000.jpeg,Triggered,2025-04-07 11:14:01
48,2,https://www.rightmove.co.uk/properties/158443409,https://media.rightmove.co.uk/238k/237116/158443409/237116_1629_FLP_00_0000.jpeg,Triggered,2025-04-07 11:14:31
50,8,https://www.rightmove.co.uk/properties/158607725,https://media.rightmove.co.uk/97k/96368/158607725/96368_HOR240204_FLP_00_0000.jpeg,Triggered,2025-04-07 11:15:01
51,8,https://www.rightmove.co.uk/properties/158608553,https://media.rightmove.co.uk/87k/86777/158608553/86777_KNA230145_FLP_00_0000.png,Triggered,2025-04-07 11:15:31
52,8,https://www.rightmove.co.uk/properties/158619977,https://media.rightmove.co.uk/10k/9040/158619977/9040_WOK180891_FLP_00_0000.jpeg,Triggered,2025-04-07 11:16:01
53,8,https://www.rightmove.co.uk/properties/158614079,https://media.rightmove.co.uk/12k/11612/158614079/11612_BUR240316_FLP_00_0000.jpeg,Triggered,2025-04-07 11:16:31
54,8,https://www.rightmove.co.uk/properties/158648825,https://media.rightmove.co.uk/85k/84800/158648825/84800_33695969_FLP_00_0000.jpeg,Triggered,2025-04-07 11:17:01
55,8,https://www.rightmove.co.uk/properties/152076377,https://media.rightmove.co.uk/239k/238265/152076377/238265_S1064575_FLP_00_0000.jpeg,Triggered,2025-04-07 11:17:31
56,8,https://www.rightmove.co.uk/properties/157632305,https://media.rightmove.co.uk/16k/15987/157632305/15987_1309699_FLP_00_0000.png,Triggered,2025-04-07 11:18:01
58,10,https://www.rightmove.co.uk/properties/158508347,https://media.rightmove.co.uk/55k/54899/158508347/54899_ef2e3c45-d5d0-4ca3-b7fe-718d5542617c_FLP_00_0000.jpeg,Triggered,2025-04-07 11:18:31
59,8,https://www.rightmove.co.uk/properties/158701067,https://media.rightmove.co.uk/87k/86777/158701067/86777_KNA220532_FLP_00_0000.jpeg,Triggered,2025-04-07 11:19:01
61,8,https://www.rightmove.co.uk/properties/153638363,https://media.rightmove.co.uk/108k/107488/153638363/107488_Eaton_FLP_00_0000.jpeg,Triggered,2025-04-07 11:19:31
